step,pass_number,search_parameter,selected_value,stability_score,conv_filters,kernel_size,dilation_rate,lstm_units,dropout_rate,learning_rate,previous_value,previous_score,decision
0,0,initial_config,"{'conv_filters': (64, 128), 'kernel_size': 5, 'dilation_rate': 1, 'lstm_units': 64, 'dropout_rate': 0.1, 'learning_rate': 0.001}",0.05460413206092242,"(64, 128)",5,1,64,0.1,0.001,,,
1,1,conv_filters,"(256,)",0.045806525270813615,"(256,)",5,1,64,0.1,0.001,"(64, 128)",0.05460413206092242,updated
2,1,kernel_size,3,0.04512416401772812,"(256,)",3,1,64,0.1,0.001,5,0.045806525270813615,updated
3,1,dilation_rate,4,0.04484103595777997,"(256,)",3,4,64,0.1,0.001,1,0.04512416401772812,updated
4,1,lstm_units,128,0.04238486235537481,"(256,)",3,4,128,0.1,0.001,64,0.04484103595777997,updated
5,1,dropout_rate,0.1,0.04238486235537481,"(256,)",3,4,128,0.1,0.001,0.1,0.04238486235537481,kept_previous
6,1,learning_rate,0.001,0.04238486235537481,"(256,)",3,4,128,0.1,0.001,0.001,0.04238486235537481,kept_previous
7,2,conv_filters,"(256,)",0.04238486235537481,"(256,)",3,4,128,0.1,0.001,"(256,)",0.04238486235537481,kept_previous
8,2,kernel_size,3,0.04238486235537481,"(256,)",3,4,128,0.1,0.001,3,0.04238486235537481,kept_previous
9,2,dilation_rate,4,0.04238486235537481,"(256,)",3,4,128,0.1,0.001,4,0.04238486235537481,kept_previous
10,2,lstm_units,128,0.04238486235537481,"(256,)",3,4,128,0.1,0.001,128,0.04238486235537481,kept_previous
11,2,dropout_rate,0.1,0.04238486235537481,"(256,)",3,4,128,0.1,0.001,0.1,0.04238486235537481,kept_previous
12,2,learning_rate,0.001,0.04238486235537481,"(256,)",3,4,128,0.1,0.001,0.001,0.04238486235537481,kept_previous
